SMILES,Activity binary
CC1(C)COC2(CCC3C4CCC5=CC6(CCC5C4C(=O)CC32C)SCCS6)OC1,0
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,1
Nc1ccccc1C(=O)O,0
COc1ccc(C=O)cc1OC,1
O=C(CC(=O)c1ccccc1)c1ccccc1,1
CCCOC(=O)c1cc(O)c(O)c(O)c1,1
CC(C)(C=NCC1(C)CC(N=CC(C)(C)CN2CCOCC2)CC(C)(C)C1)CN1CCOCC1,1
CC(C)(C=NCCCCCCN=CC(C)(C)CN1CCOCC1)CN1CCOCC1,1
CC(=O)OCCCc1ccccc1,0
CCN(CCO)c1ccc(N=Nc2ncc([N+](=O)[O-])s2)c(C)c1,1
C=CC(=C)CCC=C(C)C,0
CCCCCCCC(=O)O,0
CCCCCCCC#N,0
CC(C)=NO,0
N#CC1(N)CC1,1
CC=Cc1cc(C)c(O)c(OC)c1,1
C=CCOC(=O)c1ccccc1C(=O)OCC=C,1
CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC,0
O=C(OOC(=O)c1ccc(Cl)cc1Cl)c1ccc(Cl)cc1Cl,1
O=P12OB(O1)O2,0
O=C(C=Cc1ccc(O)cc1)c1ccccc1O,0
CC(C)CP(=S)(S)CC(C)C,1
CC(C)C1CCC2C(CCC3C(C)(CO)CCCC23C)C1,1
CCN(CC)C(=O)c1cccc(C)c1,0
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3=CCC2(C)C1(O)C(=O)CO,0
COc1cc(C(=O)CC(=O)C(C)(C)C)cc(OC)c1OC,0
CCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)O,1
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,0
CN(C)c1ccc(N=O)cc1,1
CC(C)CC(=O)OCCc1ccccc1,1
C=CCc1ccc(OC)cc1,1
O=S(=O)(O)c1cc(N=c2[nH]c(Cl)nc(=NCc3ccc(N=c4nc(Cl)[nH]c(=Nc5cc(S(=O)(=O)O)cc6cc(S(=O)(=O)O)c(N=Nc7ccccc7S(=O)(=O)O)c(O)c56)[nH]4)cc3)[nH]2)c2c(O)c(N=Nc3ccccc3S(=O)(=O)O)c(S(=O)(=O)O)cc2c1,1
CCNC(=S)OC(C)C,0
O=C(O)C(=O)O,1
COC(=O)c1nc(Cl)c(Cl)[nH]c1=N,1
COc1ccc(CO)cc1,1
CCCCCCCCCCCCOS(=O)(=O)O,1
O=S(=O)(O)CCO,0
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1
O=c1[nH]cnc2ccc(I)cc12,0
CC(C)N(C(=O)CNc1ccccc1Nc1ccccc1)c1ccccc1,1
C#[N+]C(c1ccc(F)cc1)S(=O)(=O)c1ccc(C)cc1,1
N=c1[nH][nH]c(=S)[nH]1,1
CCCCCCCCC(=O)NCCC(CCC(=O)O)c1ccccc1S(=O)(=O)O,1
CCOC(=O)CC(=O)c1cc(C)c(C)c(C)c1C,1
CC(C)OCC(O)CO,0
Cc1nccn1C,1
CC(C)C=NCC1CCCC(CN=CC(C)C)C1,1
CO[Si](CCCNCCN)(OC)OC,1
C=COCCCCO,0
COc1cc2c(cc1C(F)(F)F)NCC2,1
CC(C)CC(C)(O)CCC(C)(O)CC(C)C,0
Cc1cc(O)c(C(C)(C)C)cc1C(C)CC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C,1
C=CCc1cc(C)c(O)c(OC)c1,1
C=CCc1ccc(O)c(OC)c1C,1
CC=Cc1ccc(O)c(OC)c1C,1
CC=Cc1ccc(O)c(OC(C)C)c1,1
OCCc1ccc(Cl)cc1,1
COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc([N+](=O)[O-])c2n1,1
COc1cc(C)c2c(Cl)c(OC)cc([N+](=O)[O-])c2n1,1
COc1cc([N+](=O)[O-])c2[nH]c(=O)cc(C)c2c1Cl,1
CCCOc1ccc(Br)c(C(=O)c2ccc(OC)cc2O)c1,0
CCCOc1ccc(C=CC(=O)N2C(=O)N(C)C(C)C2c2ccccc2)c(C(=O)c2ccc(OC)cc2OCc2ccccc2)c1,0
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,1
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,1
OCCCCCCCl,0
O=c1ccc2cc(Cl)ccc2o1,1
CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,1
N=c1[nH]c(-c2ccc3ccccc3c2)cs1,1
C=COC(=O)CCCCCCCCCCC,0
CC1CCC(C(C)C)C(O)C1,0
CCOc1ccc(CC(CNCCN)NC(=O)OCc2ccccc2)cc1,1
